Name,Classifier 1,Classifier 2,Pantry1,Pantry2,Fridge1,Fridge2,Freezer1,Freezer2,xx,xx,Purchase Date,Opened Date,Days until expire (Unopened),Days until expire (RT),Days until expiry (Fridge),Day until expire (Frozen)
ALFALFA SPROUTS ," FRESH, RAW",,,,2d,3d,,,,,,,,,,
ARTICHOKES ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
ARTICHOKES ," FRESH, RAW",,,,5d,7d,10m,12m,,,,,,,,
ARUGULA (ROCKET) ," FRESH, RAW",,,,2d,3d,,,,,,,,,,
ASPARAGUS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
ASPARAGUS ," FRESH, RAW",,,,3d,4d,12m,18m,,,,,,,,
BABY CARROTS ," FRESH, RAW",,,,2w,3w,12m,18m,,,,,,,,
BAMBOO SHOOTS ," FRESH, RAW",,,,5d,7d,,,,,,,,,,
BANANA PEPPERS ," FRESH, RAW, SLICED OR CHOPPED",,,,2d,3d,10m,12m,,,,,,,,
BANANA PEPPERS ," FRESH, RAW, WHOLE",,,,1w,,10m,12m,,,,,,,,
"BEANS, SNAP, STRING OR WAX (GREEN OR YELLOW) "," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
BEET GREENS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
BEET GREENS ," FRESH, RAW",,,,3d,5d,10m,12m,,,,,,,,
BEETS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
BEETS ," FRESH, RAW",,,,2w,,10m,12m,,,,,,,,
"BELL PEPPERS / SWEET PEPPERS (INCLUDING GREEN, RED, YELLOW, ORANGE ) "," FRESH, RAW, SLICED OR CHOPPED",,,,2d,3d,10m,12m,,,,,,,,
"BELL PEPPERS / SWEET PEPPERS (INCLUDING GREEN, RED, YELLOW, ORANGE ) "," FRESH, RAW, WHOLE",,,,1w,2w,10m,12m,,,,,,,,
BITTER MELON ," FRESH, COOKED",,,,3d,5d,,,,,,,,,,
BITTER MELON ," FRESH, RAW",,,,4d,5d,,,,,,,,,,
BOK CHOY ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
BOK CHOY ," FRESH, RAW",,,,3d,4d,10m,12m,,,,,,,,
BROAD BEANS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
BROAD BEANS ," FRESH, RAW",,,,2d,3d,10m,12m,,,,,,,,
BROCCOLI ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
BROCCOLI ," FRESH, RAW",,,,3d,5d,12m,18m,,,,,,,,
BROCCOLI RAAB / RAPINI ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
BROCCOLI RABE / RAPINI ," FRESH, RAW",,,,3d,5d,10m,12m,,,,,,,,
BRUSSELS SPROUTS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
BRUSSELS SPROUTS ," FRESH, RAW",,,,3d,5d,10m,12m,,,,,,,,
CABBAGE ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
CABBAGE ," FRESH, RAW",,,,1m,2m,12m,18m,,,,,,,,
CARROTS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
CARROTS ," FRESH, RAW, CHOPPED, CARROT STICKS",,,,2w,3w,12m,18m,,,,,,,,
CARROTS ," FRESH, RAW, UNPEELED",,,,3w,4w,10m,12m,,,,,,,,
CASSAVA / YUCCA/ MANIOC ," FRESH, RAW",,,,2d,,,,,,,,,,,
CAULIFLOWER ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
CAULIFLOWER ," FRESH, RAW",,,,7d,,12m,18m,,,,,,,,
CELERIAC / CELERY ROOT ," FRESH, COOKED",,,,3d,4d,10m,12m,,,,,,,,
CELERIAC / CELERY ROOT ," FRESH, RAW",,,,10d,14d,,,,,,,,,,
CELERY ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
CELERY ," FRESH, RAW",,,,1w,2w,12m,18m,,,,,,,,
CELERY ," FRESH, RAW, CHOPPED, CUT",,,,1w,2w,12m,18m,,,,,,,,
CHAYOTE ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
CHAYOTE ," FRESH, RAW",,,,3w,4w,10m,12m,,,,,,,,
CHICORY GREENS ," FRESH, RAW",,,,3d,5d,,,,,,,,,,
CHILI PEPPERS ," FRESH, RAW, SLICED OR CHOPPED",,,,2d,3d,10m,12m,,,,,,,,
CHILI PEPPERS ," FRESH, RAW, WHOLE",,,,1w,,10m,12m,,,,,,,,
CHINESE CABBAGE ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
CHINESE CABBAGE ," FRESH, RAW",,,,4d,5d,12m,18m,,,,,,,,
CHINESE LONG BEANS ," FRESH, COOKED",,,,3d,4d,10m,12m,,,,,,,,
CHINESE LONG BEANS ," FRESH, RAW",,,,3d,5d,10m,12m,,,,,,,,
"CHOPPED ONIONS / SLICED ONIONS (INCLUDING YELLOW, WHITE, RED, SPANISH, PEARL, VIDALIA VARIETIES) "," FRESH, RAW",,,,7d,10d,6m,8m,,,,,,,,
COLLARD GREENS (COLLARDS) ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
COLLARD GREENS (COLLARDS) ," FRESH, RAW",,,,4d,5d,10m,12m,,,,,,,,
CORN ON THE COB ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
CORN ON THE COB ," FRESH, RAW",,,,1d,3d,8m,,,,,,,,,
CUCUMBER ," FRESH, RAW, SLICED OR CHOPPED",,,,1d,2d,,,,,,,,,,
CUCUMBER ," FRESH, RAW, WHOLE",,,,1w,,,,,,,,,,,
DANDELION GREENS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
DANDELION GREENS ," FRESH, RAW",,,,2d,3d,10m,12m,,,,,,,,
DOCK ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
EGGPLANT ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
EGGPLANT ," FRESH, RAW",,,,5d,7d,6m,8m,,,,,,,,
ENDIVE ," FRESH, RAW",,,,4d,5d,,,,,,,,,,
ESCAROLE ," FRESH, RAW",,,,3d,5d,,,,,,,,,,
"FENNEL, BULB "," FRESH, RAW",,,,7d,10d,10m,12m,,,,,,,,
FIDDLEHEAD FERNS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
FIDDLEHEAD FERNS ," FRESH, RAW",,,,2d,3d,,,,,,,,,,
FRISEE LETTUCE ," FRESH, RAW",,,,3d,5d,,,,,,,,,,
GARLIC ," FRESH, RAW, CHOPPED",,,,5d,7d,10m,12m,,,,,,,,
GARLIC ," FRESH, RAW, WHOLE BULB / HEAD",,3m,5m,,,10m,12m,,,,,,,,
GINGER ROOT ," FRESH, RAW",,,,4w,6w,2m,3m,,,,,,,,
GREEN BEANS / STRING BEANS / WAX BEANS ," FRESH, RAW",,,,3d,5d,12m,18m,,,,,,,,
GREEN ONIONS (SCALLIONS) ," FRESH, RAW",,,,7d,10d,10m,12m,,,,,,,,
GUERO PEPPERS ," FRESH, RAW, SLICED OR CHOPPED",,,,2d,3d,10m,12m,,,,,,,,
GUERO PEPPERS ," FRESH, RAW, WHOLE",,,,1w,,10m,12m,,,,,,,,
HABANERO PEPPERS ," FRESH, RAW, SLICED OR CHOPPED",,,,2d,3d,10m,12m,,,,,,,,
HABANERO PEPPERS ," FRESH, RAW, WHOLE",,,,1w,,10m,12m,,,,,,,,
HORSERADISH ROOT ," FRESH, RAW",,,,1m,2m,,,,,,,,,,
JALAPENO PEPPERS ," FRESH, RAW, SLICED OR CHOPPED",,,,2d,3d,10m,12m,,,,,,,,
JALAPENO PEPPERS ," FRESH, RAW, WHOLE",,,,1w,,10m,12m,,,,,,,,
JERUSALEM ARTICHOKES (SUNCHOKES) ," FRESH, COOKED",,,,3d,5d,,,,,,,,,,
JERUSALEM ARTICHOKES (SUNCHOKES) ," FRESH, RAW",,,,7d,14d,,,,,,,,,,
JICAMA ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
JICAMA ," FRESH, RAW",,,,7d,14d,,,,,,,,,,
KALE ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
KALE ," FRESH, RAW, LOOSE",,,,5d,7d,10m,12m,,,,,,,,
KOHLRABI ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
KOHLRABI ," FRESH, RAW",,,,4d,5d,10m,12m,,,,,,,,
LEEKS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
LEEKS ," FRESH, RAW",,,,7d,14d,10m,12m,,,,,,,,
"LETTUCE, BIBB "," FRESH, RAW",,,,3d,4d,,,,,,,,,,
"LETTUCE, BOSTON "," FRESH, RAW",,,,3d,4d,,,,,,,,,,
"LETTUCE, BUTTER "," FRESH, RAW",,,,3d,4d,,,,,,,,,,
